"RowNumber","Institution Name","Main Office","Branch Name","Branch Number","Established Date","Acquired Date","Street Address","City","County","State","Zipcode","Latitude","Longitude","2010 Deposits","2011 Deposits","2012 Deposits","2013 Deposits","2014 Deposits","2015 Deposits","2016 Deposits"
"950","JPMorgan Chase Bank","0","Patchogue Branch","3978","1925-07-11","2006-10-01","115 East Main Street","Patchogue","Suffolk","NY","11772","40.765749999999997","-73.012330000000006","35362","39522","39526","42162","46575","51445","55399"
"951","JPMorgan Chase Bank","0","Medford Branch","3979","1962-07-23","2006-10-01","2271 Route 112","Medford","Suffolk","NY","11763","40.814630000000001","-73.000559999999993","17455","22220","21484","25537","26314","31619","55833"
"952","JPMorgan Chase Bank","0","Rocky Point Branch","3983","1973-08-20","2006-10-01","346-20 New York Route 25a","Rocky Point","Suffolk","NY","11778","40.946420000000003","-72.932940000000002","33655","38710","45557","53046","65436","71222","82558"
"953","JPMorgan Chase Bank","0","Bohemia Branch","3985","1989-10-07","2006-10-01","4170 Veterans Memorial Highway","Bohemia","Suffolk","NY","11716","40.782449999999997","-73.098920000000007","82040","93491","97563","119313","129453","138165","144053"
"954","JPMorgan Chase Bank","0","Garnerville Branch","3986","1989-10-07","2006-10-01","58 West Ramapo Road","Garnerville","Rockland","NY","10923","41.198599999999999","-74.009609999999995","23848","27478","30329","36979","37410","65843","72141"
"955","JPMorgan Chase Bank","0","White Plains/Gateway Plaza Branch","3987","1988-12-31","2006-10-01","1 North Lexington Avenue","White Plains","Westchester","NY","10601","41.032330000000002","-73.77252","44130","45898","43581","54018","55251","59887","66998"
"956","JPMorgan Chase Bank","0","Glenville Branch","3988","1963-11-12","2006-10-01","21 Glenville Street","Greenwich","Fairfield","CT","6831","41.038409999999999","-73.667050000000003","31214","39732","44050","48032","49076","52670","56826"
"957","JPMorgan Chase Bank","0","Greenwich Avenue Branch","3989","1954-10-01","2006-10-01","197 Greenwich Avenue","Greenwich","Fairfield","CT","6830","41.027709999999999","-73.62612","56095","58215","80322","81313","102330","96767","110893"
"958","JPMorgan Chase Bank","0","West Putnam and Valley Branch","3990","1973-05-05","2006-10-01","500 West Putnam Avenue","Greenwich","Fairfield","CT","6830","41.018599999999999","-73.645399999999995","62905","75418","72121","81385","86619","99170","97109"
"959","JPMorgan Chase Bank","0","Riverside Branch","3991","1973-08-09","2006-10-01","1150 East Putnam Avenue","Riverside","Fairfield","CT","6878","41.041089999999997","-73.582440000000005","206319","203030","265043","269769","270547","264501","264519"
"960","JPMorgan Chase Bank","0","Banksville Branch","3992","1973-12-03","2006-10-01","1073 North Street","Greenwich","Fairfield","CT","6831","0","0","29327","40376","30910","32280","42435","49498","42729"
"961","JPMorgan Chase Bank","0","Greenwich Branch","3993","1994-10-14","2006-10-01","260 Sound Beach Avenue","Old Greenwich","Fairfield","CT","6870","41.029919999999997","-73.567059999999998","41865","35777","51244","48316","55730","62114","59814"
"962","JPMorgan Chase Bank","0","Southport Branch","3994","1994-09-23","2006-10-01","292 Pequot Avenue","Southport","Fairfield","CT","6890","41.136800000000001","-73.283500000000004","53412","62211","75891","93442","73647","84104","94666"
"963","JPMorgan Chase Bank","0","Elmwood Park Branch","3997","1954-01-23","2006-10-01","179 Market Street","Elmwood Park","Bergen","NJ","7407","40.900919999999999","-74.123379999999997","52572","54558","56350","58307","63839","66315","71631"
"964","JPMorgan Chase Bank","0","East Rutherford Branch","3998","1934-01-05","2006-10-01","90 Hackensack Street","East Rutherford","Bergen","NJ","7073","40.833039999999997","-74.094610000000003","35033","40381","44182","79238","113711","119413","126097"
"965","JPMorgan Chase Bank","0","Fair Lawn Branch","3999","1964-08-03","2006-10-01","13-51 River Road","Fair Lawn","Bergen","NJ","7410","40.935310000000001","-74.133750000000006","38353","41269","40454","46120","47108","52251","62874"
"966","JPMorgan Chase Bank","0","Broadway Fairlawn Branch","4000","1950-10-09","2006-10-01","27-02 Broadway","Fair Lawn","Bergen","NJ","7410","40.923409999999997","-74.108530000000002","23997","26532","30585","32290","32223","32323","38676"
